tick,pitch,yaw,steamid,name,label,weapon_name,weapon_type
64655,12.784653,76.85623,76561199256473489,Allison Argent,0,deagle,pistol
64656,12.802856,77.20026,76561199256473489,Allison Argent,0,deagle,pistol
64657,12.821045,77.56244,76561199256473489,Allison Argent,0,deagle,pistol
64658,12.857086,77.779785,76561199256473489,Allison Argent,0,deagle,pistol
64659,12.87529,77.888245,76561199256473489,Allison Argent,0,deagle,pistol
64660,12.893494,77.96069,76561199256473489,Allison Argent,0,deagle,pistol
64661,12.893494,78.14197,76561199256473489,Allison Argent,0,deagle,pistol
64662,12.857086,78.52203,76561199256473489,Allison Argent,0,deagle,pistol
64663,12.838898,78.93884,76561199256473489,Allison Argent,0,deagle,pistol
64664,12.857086,79.15582,76561199256473489,Allison Argent,0,deagle,pistol
64665,12.893494,79.24646,76561199256473489,Allison Argent,0,deagle,pistol
64666,12.911346,79.30069,76561199256473489,Allison Argent,0,deagle,pistol
64667,12.911346,79.37314,76561199256473489,Allison Argent,0,deagle,pistol
64668,12.911346,79.5726,76561199256473489,Allison Argent,0,deagle,pistol
64669,12.929535,79.84418,76561199256473489,Allison Argent,0,deagle,pistol
64670,12.929535,80.07968,76561199256473489,Allison Argent,0,deagle,pistol
64671,12.911346,80.35126,76561199256473489,Allison Argent,0,deagle,pistol
64672,12.838898,80.62283,76561199256473489,Allison Argent,0,deagle,pistol
64673,12.730408,81.039276,76561199256473489,Allison Argent,0,deagle,pistol
64674,12.5855255,81.60062,76561199256473489,Allison Argent,0,deagle,pistol
64675,12.404251,82.41565,76561199256473489,Allison Argent,0,deagle,pistol
64676,12.223328,83.23035,76561199256473489,Allison Argent,0,deagle,pistol
64677,12.060242,83.90051,76561199256473489,Allison Argent,0,deagle,pistol
64678,11.933563,84.425476,76561199256473489,Allison Argent,0,deagle,pistol
64679,11.842926,84.80588,76561199256473489,Allison Argent,0,deagle,pistol
64680,11.788666,85.24051,76561199256473489,Allison Argent,0,deagle,pistol
64681,11.7526245,85.65698,76561199256473489,Allison Argent,0,deagle,pistol
64682,11.734436,86.36319,76561199256473489,Allison Argent,0,deagle,pistol
64683,11.716232,86.634766,76561199256473489,Allison Argent,0,deagle,pistol
64684,11.716232,86.61688,76561199256473489,Allison Argent,0,deagle,pistol
64685,11.7526245,86.48987,76561199256473489,Allison Argent,0,deagle,pistol
64686,11.788666,86.30893,76561199256473489,Allison Argent,0,deagle,pistol
64687,11.788666,86.27255,76561199256473489,Allison Argent,0,deagle,pistol
64688,11.788666,86.27255,76561199256473489,Allison Argent,0,deagle,pistol
64689,11.788666,86.27255,76561199256473489,Allison Argent,0,deagle,pistol
64690,11.8068695,86.27255,76561199256473489,Allison Argent,0,deagle,pistol
64691,11.897507,86.21829,76561199256473489,Allison Argent,0,deagle,pistol
64692,11.987793,86.073425,76561199256473489,Allison Argent,0,deagle,pistol
64693,12.07843,85.964935,76561199256473489,Allison Argent,0,deagle,pistol
64694,12.205124,85.60272,76561199256473489,Allison Argent,0,deagle,pistol
64695,12.494888,84.335175,76561199256473489,Allison Argent,0,deagle,pistol
64696,12.784653,82.234375,76561199256473489,Allison Argent,0,deagle,pistol
64697,13.219299,76.53009,76561199256473489,Allison Argent,0,deagle,pistol
64698,13.436615,69.44974,76561199256473489,Allison Argent,0,deagle,pistol
64699,13.436615,60.685043,76561199256473489,Allison Argent,0,deagle,pistol
64700,13.165054,52.735413,76561199256473489,Allison Argent,0,deagle,pistol
64701,12.6397705,45.78174,76561199256473489,Allison Argent,0,deagle,pistol
64702,12.259369,41.99695,76561199256473489,Allison Argent,0,deagle,pistol
64703,11.57135,36.727295,76561199256473489,Allison Argent,0,deagle,pistol
64704,10.95578,33.05133,76561199256473489,Allison Argent,0,deagle,pistol
64705,10.521118,30.96875,76561199256473489,Allison Argent,0,deagle,pistol
64706,10.231354,29.84607,76561199256473489,Allison Argent,0,deagle,pistol
64707,10.086487,29.502075,76561199256473489,Allison Argent,0,deagle,pistol
64708,9.99585,29.447815,76561199256473489,Allison Argent,0,deagle,pistol
64709,9.88736,29.411438,76561199256473489,Allison Argent,0,deagle,pistol
64710,9.724274,29.33899,76561199256473489,Allison Argent,0,deagle,pistol
64711,9.561188,29.248688,76561199256473489,Allison Argent,0,deagle,pistol
64712,9.434509,29.15805,76561199256473489,Allison Argent,0,deagle,pistol
64713,9.326019,29.085617,76561199256473489,Allison Argent,0,deagle,pistol
64714,9.271774,29.049225,76561199256473489,Allison Argent,0,deagle,pistol
64715,9.235382,29.013184,76561199256473489,Allison Argent,0,deagle,pistol
64716,9.235382,28.976776,76561199256473489,Allison Argent,0,deagle,pistol
64717,9.235382,28.958923,76561199256473489,Allison Argent,0,deagle,pistol
64718,9.217194,28.958923,76561199256473489,Allison Argent,0,deagle,pistol
64719,9.199341,28.904343,76561199256473489,Allison Argent,0,deagle,pistol
64720,9.181137,28.83191,76561199256473489,Allison Argent,0,deagle,pistol
64721,9.181137,28.814056,76561199256473489,Allison Argent,0,deagle,pistol
64722,9.181137,28.814056,76561199256473489,Allison Argent,0,deagle,pistol
64723,9.181137,28.777649,76561199256473489,Allison Argent,0,deagle,pistol
64724,9.181137,28.669159,76561199256473489,Allison Argent,0,deagle,pistol
64725,9.199341,28.361206,76561199256473489,Allison Argent,0,deagle,pistol
64726,9.217194,28.08963,76561199256473489,Allison Argent,0,deagle,pistol
64727,9.217194,27.854126,76561199256473489,Allison Argent,0,deagle,pistol
64728,9.235382,27.709229,76561199256473489,Allison Argent,0,deagle,pistol
64729,9.253571,27.58255,76561199256473489,Allison Argent,0,deagle,pistol
64730,9.271774,27.510101,76561199256473489,Allison Argent,0,deagle,pistol
64731,9.289627,27.419464,76561199256473489,Allison Argent,0,deagle,pistol
