tick,pitch,X,yaw,Y,Z,label,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,snap_magnitude,speed_rolling_std,speed_rolling_mean,position_delta,position_jumpiness,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis,weapon_grenade,weapon_lmg,weapon_melee,weapon_pistol,weapon_rifle,weapon_shotgun,weapon_smg,weapon_sniper,weapon_unknown
34199,3.0404663,-689.1156,170.24481,-1205.1406,-415.96875,1,627.3911044568332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.990598885662302,0.03246348745345452,30.404662999999992,1702.4480999999998,0.0,0.0,0.0,0,0.0,0.0,0.0,170.24481,3.0404663,0,0,0.10712277979999991,5.897506932150232,-12.881805,8.15564,21.037444999999998,-0.7484724751627799,-0.3267712086449772,-108.3433351,114.03779591477381,-179.47025,179.62234,359.09259,2.052570660585151,2.2930077595168608,-0.013060043478260867,0.24843336482851244,-0.96234131,0.5774686999999998,1.5398100099999998,-1.5748100539899694,3.4205767606735678,-1.0483032441471574,20.778047103079917,-359.09259,1.539810000000017,360.63239999999996,-17.285761288029114,298.8647069417369,1.4719588386853266,20.753742447979036,0.0,359.09259105039155,359.09259105039155,17.28506775606779,298.84836087297185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34200,3.0404663,-687.1523,170.24481,-1205.4692,-415.96875,1,627.3911044568332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9906091655571287,0.031853676026150954,33.44512929999999,1872.6929099999998,0.0,0.0,0.0,0,0.0,0.0,0.0,170.24481,3.0404663,0,0,0.10712277979999991,5.897506932150232,-12.881805,8.15564,21.037444999999998,-0.7484724751627799,-0.3267712086449772,-108.3433351,114.03779591477381,-179.47025,179.62234,359.09259,2.052570660585151,2.2930077595168608,-0.013060043478260867,0.24843336482851244,-0.96234131,0.5774686999999998,1.5398100099999998,-1.5748100539899694,3.4205767606735678,-1.0483032441471574,20.778047103079917,-359.09259,1.539810000000017,360.63239999999996,-17.285761288029114,298.8647069417369,1.4719588386853266,20.753742447979036,0.0,359.09259105039155,359.09259105039155,17.28506775606779,298.84836087297185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34201,3.0404663,-685.1939,170.24481,-1205.7625,-415.96875,1,627.3911044568332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.980241260553865,0.0236855540436705,36.48559559999999,2042.9377199999997,0.0,0.0,0.0,0,0.0,0.0,0.0,170.24481,3.0404663,0,0,0.10712277979999991,5.897506932150232,-12.881805,8.15564,21.037444999999998,-0.7484724751627799,-0.3267712086449772,-108.3433351,114.03779591477381,-179.47025,179.62234,359.09259,2.052570660585151,2.2930077595168608,-0.013060043478260867,0.24843336482851244,-0.96234131,0.5774686999999998,1.5398100099999998,-1.5748100539899694,3.4205767606735678,-1.0483032441471574,20.778047103079917,-359.09259,1.539810000000017,360.63239999999996,-17.285761288029114,298.8647069417369,1.4719588386853266,20.753742447979036,0.0,359.09259105039155,359.09259105039155,17.28506775606779,298.84836087297185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34202,3.0404663,-683.2881,170.24481,-1205.9141,-415.96875,1,627.3911044568332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9118201275224538,0.02667913047995414,39.52606189999999,2213.1825299999996,0.0,0.0,0.0,0,0.0,0.0,0.0,170.24481,3.0404663,0,0,0.10712277979999991,5.897506932150232,-12.881805,8.15564,21.037444999999998,-0.7484724751627799,-0.3267712086449772,-108.3433351,114.03779591477381,-179.47025,179.62234,359.09259,2.052570660585151,2.2930077595168608,-0.013060043478260867,0.24843336482851244,-0.96234131,0.5774686999999998,1.5398100099999998,-1.5748100539899694,3.4205767606735678,-1.0483032441471574,20.778047103079917,-359.09259,1.539810000000017,360.63239999999996,-17.285761288029114,298.8647069417369,1.4719588386853266,20.753742447979036,0.0,359.09259105039155,359.09259105039155,17.28506775606779,298.84836087297185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34203,3.0404663,-681.5405,170.24481,-1205.8329,-415.96875,1,627.3911044568332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.749485410056367,0.07546285463421308,42.566528199999986,2383.4273399999997,0.0,0.0,0.0,0,0.0,0.0,0.0,170.24481,3.0404663,0,0,0.10712277979999991,5.897506932150232,-12.881805,8.15564,21.037444999999998,-0.7484724751627799,-0.3267712086449772,-108.3433351,114.03779591477381,-179.47025,179.62234,359.09259,2.052570660585151,2.2930077595168608,-0.013060043478260867,0.24843336482851244,-0.96234131,0.5774686999999998,1.5398100099999998,-1.5748100539899694,3.4205767606735678,-1.0483032441471574,20.778047103079917,-359.09259,1.539810000000017,360.63239999999996,-17.285761288029114,298.8647069417369,1.4719588386853266,20.753742447979036,0.0,359.09259105039155,359.09259105039155,17.28506775606779,298.84836087297185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34204,3.0404663,-679.87976,170.29974,-1205.434,-415.96875,1,627.3911044568332,0.0,0.0,0.0,0.0,0.054930000000013024,0.0,0.054930000000013024,0.0,0.054930000000013024,0.0,0.0,0.0,1.7079749874046288,0.10787588310938101,45.606994499999985,2553.7270799999997,0.054930000000013024,1.0,0.0,1,1.0,0.01737039118730903,0.0,170.250303,3.0404663,0,0,0.10712277979999991,5.897506932150232,-12.881805,8.15564,21.037444999999998,-0.7484724751627799,-0.3267712086449772,-108.3433351,114.03779591477381,-179.47025,179.62234,359.09259,2.052570660585151,2.2930077595168608,-0.013060043478260867,0.24843336482851244,-0.96234131,0.5774686999999998,1.5398100099999998,-1.5748100539899694,3.4205767606735678,-1.0483032441471574,20.778047103079917,-359.09259,1.539810000000017,360.63239999999996,-17.285761288029114,298.8647069417369,1.4719588386853266,20.753742447979036,0.0,359.09259105039155,359.09259105039155,17.28506775606779,298.84836087297185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34205,3.0679321,-678.29913,170.43744,-1204.7428,-415.96875,1,627.3911044568332,0.0,0.0,0.0,0.027465800000000318,0.13769999999999527,0.027465800000000318,0.08276999999998225,0.027465800000000318,0.027839999999969223,0.0,0.0,0.0,1.7251517721348768,0.12350459985000545,48.674926599999985,2724.16452,0.1404124644383066,1.0,1.0,0,1.0,0.061459134064845364,0.008685448575865345,170.269566,3.04321288,0,0,0.10712277979999991,5.897506932150232,-12.881805,8.15564,21.037444999999998,-0.7484724751627799,-0.3267712086449772,-108.3433351,114.03779591477381,-179.47025,179.62234,359.09259,2.052570660585151,2.2930077595168608,-0.013060043478260867,0.24843336482851244,-0.96234131,0.5774686999999998,1.5398100099999998,-1.5748100539899694,3.4205767606735678,-1.0483032441471574,20.778047103079917,-359.09259,1.539810000000017,360.63239999999996,-17.285761288029114,298.8647069417369,1.4719588386853266,20.753742447979036,0.0,359.09259105039155,359.09259105039155,17.28506775606779,298.84836087297185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34206,3.095398,-676.79395,170.76736,-1203.7831,-415.96875,1,627.3911044568332,0.0,0.0,0.0,0.02746589999999971,0.3299199999999871,9.99999993922529e-08,0.19221999999999184,-0.027465700000000925,0.1094500000000096,0.0,0.0,0.0,1.7851024963289266,0.12452534209443197,51.77032459999999,2894.9318799999996,0.3310612965340429,1.0,1.0,0,1.0,0.16795342710605105,0.018538030082044295,170.321821,3.04870605,0,1,0.10712277979999991,5.897506932150232,-12.881805,8.15564,21.037444999999998,-0.7484724751627799,-0.3267712086449772,-108.3433351,114.03779591477381,-179.47025,179.62234,359.09259,2.052570660585151,2.2930077595168608,-0.013060043478260867,0.24843336482851244,-0.96234131,0.5774686999999998,1.5398100099999998,-1.5748100539899694,3.4205767606735678,-1.0483032441471574,20.778047103079917,-359.09259,1.539810000000017,360.63239999999996,-17.285761288029114,298.8647069417369,1.4719588386853266,20.753742447979036,0.0,359.09259105039155,359.09259105039155,17.28506775606779,298.84836087297185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34207,3.1231995,-675.35925,170.9325,-1202.5764,-415.96875,1,627.3911044568332,0.0,0.0,0.0,0.027801500000000257,0.16514000000000806,0.00033560000000054657,-0.16477999999997905,0.0003355000000011543,-0.3569999999999709,0.0,0.0,0.0,1.8746970368570226,0.1185703911581479,54.893524099999986,3065.8643799999995,0.16746385580850776,-1.0,1.0,1,2.0,0.25245056202485977,0.029608237233207442,170.39059,3.0569793699999996,0,0,0.10712277979999991,5.897506932150232,-12.881805,8.15564,21.037444999999998,-0.7484724751627799,-0.3267712086449772,-108.3433351,114.03779591477381,-179.47025,179.62234,359.09259,2.052570660585151,2.2930077595168608,-0.013060043478260867,0.24843336482851244,-0.96234131,0.5774686999999998,1.5398100099999998,-1.5748100539899694,3.4205767606735678,-1.0483032441471574,20.778047103079917,-359.09259,1.539810000000017,360.63239999999996,-17.285761288029114,298.8647069417369,1.4719588386853266,20.753742447979036,0.0,359.09259105039155,359.09259105039155,17.28506775606779,298.84836087297185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34208,3.178131,-673.9898,171.04236,-1201.1427,-415.96875,1,627.3911044568332,0.0,0.0,0.0,0.05493149999999991,0.10985999999999763,0.027129999999999654,-0.05528000000001043,0.026794399999999108,0.10949999999996862,0.0,0.0,0.0,1.9826469661791921,0.11769466550610547,58.07165509999999,3236.9067399999994,0.12282788483178186,-1.0,1.0,0,2.0,0.31859505831593277,0.04760918260721473,170.470345,3.07074584,0,0,0.10712277979999991,5.897506932150232,-12.881805,8.15564,21.037444999999998,-0.7484724751627799,-0.3267712086449772,-108.3433351,114.03779591477381,-179.47025,179.62234,359.09259,2.052570660585151,2.2930077595168608,-0.013060043478260867,0.24843336482851244,-0.96234131,0.5774686999999998,1.5398100099999998,-1.5748100539899694,3.4205767606735678,-1.0483032441471574,20.778047103079917,-359.09259,1.539810000000017,360.63239999999996,-17.285761288029114,298.8647069417369,1.4719588386853266,20.753742447979036,0.0,359.09259105039155,359.09259105039155,17.28506775606779,298.84836087297185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
