tick,pitch,yaw,steamid,label,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,cumulative_pitch,cumulative_yaw,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range
48808,0.13079834,-10.290405,76561198822643426,1,0.0,0.0,0.0,0.0,0.03260803000000001,0.0,0.49058533000000004,-41.16162,6.488520863700001,3.905804348887178,0.09819031,13.767242,13.66905169,-43.265705060816664,24.664230653474448,-91.58512,0.010650635,91.59577063500001
48809,0.16342163,-10.290405,76561198822643426,1,0.03262329,0.0,0.03262329,0.0,0.03262329,0.0,0.65400696,-51.452025,6.488520863700001,3.905804348887178,0.09819031,13.767242,13.66905169,-43.265705060816664,24.664230653474448,-91.58512,0.010650635,91.59577063500001
48810,0.26161194,-10.5846405,76561198822643426,1,0.09819030999999998,-0.294235500000001,0.06556701999999998,-0.294235500000001,0.03294372999999998,-0.294235500000001,0.9156189,-62.0366655,6.488520863700001,3.905804348887178,0.09819031,13.767242,13.66905169,-43.265705060816664,24.664230653474448,-91.58512,0.010650635,91.59577063500001
48811,0.39242554,-11.042297,76561198822643426,1,0.13081360000000003,-0.4576564999999988,0.032623290000000055,-0.16342099999999782,-0.03294372999999992,0.13081450000000316,1.30804444,-73.0789625,6.488520863700001,3.905804348887178,0.09819031,13.767242,13.66905169,-43.265705060816664,24.664230653474448,-91.58512,0.010650635,91.59577063500001
48812,0.55584717,-11.79451,76561198822643426,1,0.16342162999999993,-0.7522130000000011,0.0326080299999999,-0.29455650000000233,-1.5260000000155705e-05,-0.1311355000000045,1.86389161,-84.8734725,6.488520863700001,3.905804348887178,0.09819031,13.767242,13.66905169,-43.265705060816664,24.664230653474448,-91.58512,0.010650635,91.59577063500001
48813,0.8830261,-13.429749,76561198822643426,1,0.3271789300000001,-1.6352389999999986,0.16375730000000016,-0.8830259999999974,0.13114927000000026,-0.5884694999999951,2.74691771,-98.3032215,6.488520863700001,3.905804348887178,0.09819031,13.767242,13.66905169,-43.265705060816664,24.664230653474448,-91.58512,0.010650635,91.59577063500001
48814,1.2098694,-15.064667,76561198822643426,1,0.32684330000000006,-1.6349180000000008,-0.0003356300000000312,0.00032099999999779527,-0.1640929300000002,0.8833469999999952,3.95678711,-113.3678885,6.488520863700001,3.905804348887178,0.09819031,13.767242,13.66905169,-43.265705060816664,24.664230653474448,-91.58512,0.010650635,91.59577063500001
48815,1.7330933,-17.844208,76561198822643426,1,0.5232238999999999,-2.7795409999999983,0.1963805999999998,-1.1446229999999975,0.19671622999999983,-1.1449439999999953,5.68988041,-131.2120965,6.488520863700001,3.905804348887178,0.09819031,13.767242,13.66905169,-43.265705060816664,24.664230653474448,-91.58512,0.010650635,91.59577063500001
48816,2.2563171,-20.656357,76561198822643426,1,0.5232238,-2.8121490000000016,-9.999999983634211e-08,-0.0326080000000033,-0.19638069999999963,1.1120149999999942,7.946197509999999,-151.8684535,6.488520863700001,3.905804348887178,0.09819031,13.767242,13.66905169,-43.265705060816664,24.664230653474448,-91.58512,0.010650635,91.59577063500001
48817,3.073761,-24.940338,76561198822643426,1,0.8174439000000002,-4.283981000000001,0.2942201000000002,-1.4718319999999991,0.29422020000000004,-1.4392239999999958,11.019958509999999,-176.80879149999998,6.488520863700001,3.905804348887178,0.09819031,13.767242,13.66905169,-43.265705060816664,24.664230653474448,-91.58512,0.010650635,91.59577063500001
